pov_ratio_guarantee,phase_out_rate,cost_b,adult_reach,spmu_reach,child_reach,gini,poverty_rate,deep_poverty_rate,child_poverty_rate,child_deep_poverty_rate,adult_poverty_rate,adult_deep_poverty_rate,poverty_gap,squared_poverty_gap,deep_poverty_gap
0.01,0.0,0.8606829549739458,6660054.133333334,3712855.166666667,1739910.1600000001,0.4870761220515847,0.19799610076755217,0.047976248381576464,0.23065635948314325,0.038919116758687505,0.18946375030465215,0.050342384604441445,6295588023.405745,91099722562983.22,1406242726.086051
0.01,0.01,0.06459959052078919,1285708.19,751267.7566666666,409106.2766666667,0.4882073130714369,0.20176448464331728,0.0493696618443721,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05171409217374529,6402953849.920889,92427562238414.81,1414833913.999425
0.01,0.02,0.028903378693815783,347218.30333333334,232949.28999999998,70284.74333333333,0.48838042126444897,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6438650061.747863,93186273609692.25,1423859944.3597326
0.01,0.03,0.023849248069707795,223142.9366666667,168436.73666666666,48419.856666666674,0.4884095353104058,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6443704192.37197,93369904119016.9,1428914074.9838407
0.01,0.04,0.021740675968427433,186171.60333333333,145238.01666666666,32334.71,0.4884220666637346,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6445812764.473251,93454871544039.0,1431022647.0851212
0.01,0.05,0.020602295879577927,172487.31333333332,136841.99000000002,23228.0,0.48842889407608564,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6446951144.5621,93501768507429.28,1432161027.1739707
0.01,0.06,0.019882025354357912,160877.44,128837.93999999999,21920.54333333333,0.4884332369071079,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6447671415.08732,93530596198542.94,1432881297.6991906
0.01,0.07,0.01941375742674991,153881.51333333337,123820.26666666666,20290.67,0.48843607207199363,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6448139683.014929,93548312566908.97,1433349565.6267986
0.01,0.08,0.01906281059865673,149282.44,121445.70666666667,20290.67,0.48843820035694396,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6448490629.843021,93562003451263.34,1433700512.4548917
0.01,0.09,0.018772097670642807,145549.65000000002,117712.91666666667,20290.67,0.48843996427515224,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6448781342.771036,93574041482161.56,1433991225.3829055
0.01,0.1,0.018525598810242884,142474.98666666666,115497.67666666668,20290.67,0.48844146059803273,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6449027841.631435,93584799925292.64,1434237724.2433054
0.01,0.11,0.018300910812785287,142474.98666666666,115497.67666666668,20290.67,0.4884428249127804,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6449252529.628893,93594827717315.34,1434462412.2407632
0.01,0.12,0.01808589153977809,140084.25666666665,113106.94666666667,20290.67,0.4884441305881837,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6449467548.9019,93604591691935.25,1434677431.51377
0.01,0.13,0.01789523058531037,139482.78666666668,112505.47666666667,20290.67,0.4884452884624813,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6449658209.856368,93613656069152.92,1434868092.468238
0.01,0.14,0.017711209903552766,137394.3,111822.88666666667,20290.67,0.4884464060900967,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6449842230.538125,93622485916108.22,1435052113.1499958
0.01,0.15,0.0175649827877285,132835.89666666667,108806.71333333335,20290.67,0.4884472949315044,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6449988457.65395,93629470593896.3,1435198340.26582
0.01,0.16,0.0174341820905709,132835.89666666667,108806.71333333335,20290.67,0.4884480901114143,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6450119258.351107,93635950364071.06,1435329140.9629774
0.01,0.17,0.0173033813934133,132835.89666666667,108806.71333333335,20290.67,0.48844888534734304,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6450250059.048265,93642432907434.03,1435459941.6601353
0.01,0.18,0.017190471898455698,126678.96666666667,106541.06333333334,20290.67,0.4884495725250298,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6450362968.543222,93647551542184.88,1435572851.1550927
